conversion,conversionAjustada2punto2Kg,mortalidadPor,noDePollosMuertos,pesoFinalPolloG,gananciaPesoDiaG,AD3Engrode,AD3Inicio,AD3Preinicio,consumoAjustadoA2punto2Kg,consumoDiaPolloG,consumoTotalPolloG,duracionEngordeDias,ea,edadAjustadaA2punto2Kg,edadEnDias,feep,ip,n,noPollitos,empresa,granja,municipio
1.69,1.69,0.08,3036,2222.7,55.71,0,1,0,3710.29,94.29,3762.15,39.9,131.32,39.64,40,329.12,77.58,332,37293, Operadora  Avicola , Villa  Luz  OPAV , Antioquia  Sur 
1.65,1.64,0.06,909,2214.19,54.81,0,1,0,3614.25,90.24,3645.83,40.4,134.47,40.23,40,332.85,81.67,350,14733, Operadora  Avicola , Villa  Rita , Antioquia  Sur 
1.79,1.78,0.04,1806,2263.58,55.21,0,1,0,3903.59,98.94,4056.44,41,126.31,40.24,41,308.08,70.49,160,46032, Operadora  Avicola ,Carmela,Pereira
1.82,1.82,0.03,5366,2204.02,50.44,0,1,0,4009.4,91.98,4019.31,43.7,120.86,43.65,44,276.56,66.27,194,167319, Operadora  Avicola , San  Joaquin ,Bucaramanga
1.82,1.81,0.03,4077,2268.62,52.64,0,1,0,3965.9,95.91,4133.51,43.1,124.51,42.24,43,288.89,68.34,195,123530, Operadora  Avicola , El  Progreso ,Bucaramanga
1.64,1.63,0.03,1090,2212.24,55.44,0,1,0,3593.99,90.75,3621.07,39.9,135.15,39.76,40,338.73,82.57,198,39377, Operadora  Avicola ,Nirvana, Antioquia  Sur 
1.64,1.63,0.01,2342,2221.63,55.25,0,1,0,3590.64,90.49,3638.46,40.21,135.65,39.96,40,337.36,82.83,210,174261, Operadora  Avicola , San  Andres , Antioquia  Sur 
1.73,1.73,0.04,5884,2200.7,53.81,0,1,0,3816.07,93.34,3817.7,40.9,126.86,40.9,41,310.17,73.13,216,159872, Operadora  Avicola , Vista  Hermosa , Antioquia  Sur 
1.71,1.7,0.04,6249,2233.59,54.08,0,1,0,3746.64,92.59,3824.14,41.3,130.46,40.89,41,315.88,76.2,228,143974, Operadora  Avicola , Charco  Negro , Antioquia  Norte 
1.71,1.69,0.14,3359,2288.88,53.35,0,1,0,3720.6,91.47,3924.25,42.9,133.5,41.8,43,311.19,77.87,272,23215, Operadora  Avicola ,Peñas, Antioquia  Norte 
1.73,1.71,0.02,822,2321.36,55.67,0,1,0,3746.63,96.56,4026.66,41.7,133.83,40.25,42,320.93,77.15,274,41928, Operadora  Avicola ,Montañita, Antioquia  Sur 
1.7,1.76,0.05,6378,1974.73,49.37,0,1,0,3903.14,84.04,3361.63,40,116,42.89,40,290.01,68.14,297,125487, Operadora  Avicola , Pilar  OPAV , Antioquia  Norte 
1.84,1.83,0.05,5031,2236.85,52.26,0,1,0,4028.95,96.27,4120.38,42.8,121.43,42.34,43,283.72,65.92,301,98799, Operadora  Avicola ,Tulcan,Bucaramanga
1.77,1.73,0.06,5145,2362.05,56.11,0,1,0,3796.89,99.19,4175.84,42.1,133.61,40.16,42,317.36,75.58,322,80943, Operadora  Avicola , El  Rocio ,Pereira
1.71,1.69,0.03,3894,2299.61,54.36,0,1,0,3701.25,92.87,3928.3,42.3,134.62,41.08,42,318.25,78.8,328,139515, Operadora  Avicola , Charco  Negro , Antioquia  Norte 
1.71,1.7,0.05,5703,2232.09,54.84,0,1,0,3742.12,93.76,3816.06,40.7,130.56,40.32,41,320.78,76.37,354,105890, Operadora  Avicola , La  Luz , Antioquia  Sur 
1.86,1.84,0.07,9696,2300.9,50.24,0,1,0,4035.76,93.59,4286.54,45.8,123.51,44.47,46,269.66,66.29,360,148260, Operadora  Avicola , San  Joaquin ,Bucaramanga
1.87,1.9,0.04,7608,2097.47,47.13,0,1,0,4192.09,88.26,3927.38,44.5,112.02,45.91,45,251.73,59.82,367,185579, Operadora  Avicola ,Aguasblancas,Bucaramanga
1.69,1.73,0.08,9432,2017.24,50.31,0,1,0,3833.82,84.85,3402.3,40.1,119.6,42.42,40,298.26,70.91,370,119299, Operadora  Avicola ,Aldea, Antioquia  Norte 
1.83,1.81,0.05,5674,2269.5,46.79,0,1,0,3978.23,85.54,4148.51,48.5,124.16,47.52,49,255.99,67.92,381,114330, Operadora  Avicola , El  Progreso ,Bucaramanga
1.7,1.71,0.04,1931,2164.64,53.45,0,1,0,3760.4,90.83,3678.5,40.5,127.38,40.94,41,314.52,74.96,132,47406, Operadora  Avicola ,Salsipuedes, Antioquia  Sur 
1.72,1.67,0.02,491,2408.77,56.02,0,1,0,3671.91,96.37,4144.03,43,140.01,40.48,43,325.61,81.38,143,22875, Operadora  Avicola , Violeta  OPAV , Antioquia  Norte 
1.7,1.62,0.03,729,2592.21,59.73,0,1,0,3556.47,101.74,4415.53,43.4,152.18,38.85,43,350.64,89.34,136,28395, Operadora  Avicola ,Bonita, Antioquia  Norte 
1.84,1.83,0.08,8318,2221.11,52.02,0,1,0,4029.66,95.6,4082.05,42.7,120.85,42.44,43,283.03,65.76,141,109380, Operadora  Avicola , La  Herradura ,Bucaramanga
1.69,1.64,0.03,451,2417,56.87,0,1,0,3602.25,96.09,4083.67,42.5,143.06,39.92,43,336.6,84.67,145,16084, Operadora  Avicola , Villa  Rita , Antioquia  Sur 
1.72,1.67,0.02,742,2383.26,57.29,0,1,0,3675.11,98.32,4089.9,41.6,138.88,39.45,42,333.84,80.93,155,32420, Operadora  Avicola , Santa  Inés ,Pereira
1.77,1.73,0.07,1828,2407.25,55.09,0,1,0,3786.52,97.71,4269.82,43.7,135.72,41.16,44,310.56,76.51,161,24836, Operadora  Avicola , El  Alkaraban ,Bucaramanga
1.66,1.59,0.02,1291,2498.06,58.5,0,1,0,3499.37,97,4141.72,42.7,150.67,39.21,43,352.85,90.88,179,75154, Operadora  Avicola ,Argentina, Antioquia  Norte 
1.67,1.64,0.03,1335,2339.11,57.05,0,1,0,3592.99,95.14,3900.82,41,140.26,39.37,41,342.11,84.11,182,40496, Operadora  Avicola , La  Clara , Antioquia  Norte 
1.74,1.73,0.03,3778,2248.72,54.71,0,1,0,3805.17,95.36,3919.33,41.1,129.02,40.52,41,313.92,74.03,217,122737, Operadora  Avicola ,Pomona,Pereira
1.77,1.74,0.03,3521,2332.06,52.41,0,1,0,3827.93,93.02,4139.24,44.5,131.39,42.82,45,295.25,74.02,222,137932, Operadora  Avicola ,Terranova,Bucaramanga
1.88,1.87,0.06,6614,2218.23,48.22,0,1,0,4121.68,90.61,4167.96,46,118.06,45.76,46,256.65,62.83,235,119974, Operadora  Avicola , La  Herradura ,Bucaramanga
1.71,1.67,0.08,6208,2343.5,56.74,0,1,0,3671.37,96.75,3995.82,41.3,137.44,39.61,41,332.79,80.61,250,79915, Operadora  Avicola , Porvenir  Ant , Antioquia  Sur 
